0.001000	0.093940	0.034187	93.969261	34.202015
0.002000	0.187823	0.068343	93.911705	34.171257
0.003000	0.281649	0.102468	93.854218	34.140530
0.004000	0.375417	0.136562	93.796806	34.109837
0.005000	0.469128	0.170626	93.739464	34.079174
0.006000	0.562782	0.204659	93.682198	34.048546
0.007000	0.656378	0.238662	93.625000	34.017948
0.008000	0.749917	0.272634	93.567879	33.987381
0.009000	0.843400	0.306576	93.510826	33.956848
0.010000	0.936825	0.340487	93.453842	33.926346
0.011000	1.030194	0.374367	93.396935	33.895878
0.012000	1.123505	0.408218	93.340096	33.865440
0.013000	1.216760	0.442038	93.283325	33.835033
0.014000	1.309958	0.475827	93.226631	33.804661
0.015000	1.403100	0.509586	93.170006	33.774319
0.016000	1.496185	0.543315	93.113449	33.744007
0.017000	1.589214	0.577014	93.056969	33.713726
0.018000	1.682186	0.610682	93.000557	33.683479
0.019000	1.775103	0.644320	92.944214	33.653263
0.020000	1.867962	0.677928	92.887939	33.623077
0.021000	1.960766	0.711506	92.831734	33.592922
0.022000	2.053514	0.745054	92.775597	33.562798
0.023000	2.146205	0.778572	92.719536	33.532707
0.024000	2.238841	0.812059	92.663544	33.502647
0.025000	2.331421	0.845517	92.607620	33.472618
0.026000	2.423944	0.878945	92.551765	33.442619
0.027000	2.516412	0.912342	92.495979	33.412651
0.028000	2.608825	0.945710	92.440262	33.382713
0.029000	2.701182	0.979048	92.384613	33.352806
0.030000	2.793483	1.012356	92.329033	33.322929
0.031000	2.885729	1.045634	92.273521	33.293083
0.032000	2.977920	1.078882	92.218079	33.263271
0.033000	3.070055	1.112101	92.162704	33.233490
0.034000	3.162134	1.145290	92.107399	33.203739
0.035000	3.254159	1.178449	92.052162	33.174019
0.036000	3.346128	1.211579	91.996994	33.144325
0.037000	3.438043	1.244678	91.941895	33.114662
0.038000	3.529902	1.277749	91.886864	33.085030
0.039000	3.621707	1.310789	91.831902	33.055428
0.040000	3.713456	1.343800	91.777008	33.025856
0.041000	3.805151	1.376782	91.722176	32.996315
0.042000	3.896791	1.409734	91.667412	32.966805
0.043000	3.988377	1.442657	91.612717	32.937325
0.044000	4.079907	1.475550	91.558090	32.907875
0.045000	4.171384	1.508414	91.503532	32.878456
0.046000	4.262805	1.541248	91.449036	32.849064
0.047000	4.354173	1.574053	91.394608	32.819702
0.048000	4.445486	1.606829	91.340248	32.790371
0.049000	4.536745	1.639575	91.285957	32.761070
0.050000	4.627949	1.672292	91.231728	32.731800
0.051000	4.719100	1.704980	91.177567	32.702557
0.052000	4.810196	1.737639	91.123474	32.673344
0.053000	4.901239	1.770269	91.069443	32.644161
0.054000	4.992228	1.802869	91.015480	32.615009
0.055000	5.083162	1.835440	90.961586	32.585884
0.056000	5.174043	1.867983	90.907753	32.556789
0.057000	5.264870	1.900496	90.853989	32.527725
0.058000	5.355644	1.932980	90.800285	32.498688
0.059000	5.446363	1.965435	90.746651	32.469681
0.060000	5.537030	1.997862	90.693077	32.440704
0.061000	5.627643	2.030259	90.639572	32.411755
0.062000	5.718202	2.062627	90.586128	32.382835
0.063000	5.808708	2.094967	90.532753	32.353943
0.064000	5.899161	2.127278	90.479439	32.325081
0.065000	5.989561	2.159559	90.426193	32.296249
0.066000	6.079907	2.191813	90.373009	32.267445
0.067000	6.170200	2.224037	90.319893	32.238670
0.068000	6.260441	2.256233	90.266838	32.209923
0.069000	6.350628	2.288399	90.213852	32.181206
0.070000	6.440763	2.320538	90.160927	32.152515
0.071000	6.530845	2.352647	90.108063	32.123856
0.072000	6.620873	2.384728	90.055267	32.095222
0.073000	6.710850	2.416780	90.002533	32.066620
0.074000	6.800773	2.448804	89.949860	32.038044
0.075000	6.890644	2.480799	89.897255	32.009495
0.076000	6.980463	2.512766	89.844711	31.980976
0.077000	7.070229	2.544704	89.792229	31.952486
0.078000	7.159942	2.576614	89.739815	31.924023
0.079000	7.249603	2.608495	89.687462	31.895588
0.080000	7.339212	2.640348	89.635170	31.867182
0.081000	7.428769	2.672173	89.582939	31.838804
0.082000	7.518274	2.703969	89.530777	31.810453
0.083000	7.607727	2.735737	89.478676	31.782131
0.084000	7.697127	2.767477	89.426636	31.753838
0.085000	7.786476	2.799188	89.374657	31.725571
0.086000	7.875773	2.830871	89.322739	31.697332
0.087000	7.965018	2.862526	89.270882	31.669121
0.088000	8.054211	2.894153	89.219086	31.640938
0.089000	8.143353	2.925752	89.167358	31.612782
0.090000	8.232443	2.957323	89.115692	31.584654
0.091000	8.321481	2.988865	89.064087	31.556553
0.092000	8.410467	3.020380	89.012543	31.528481
0.093000	8.499402	3.051866	88.961060	31.500435
0.094000	8.588286	3.083325	88.909637	31.472416
0.095000	8.677119	3.114755	88.858276	31.444426
0.096000	8.765901	3.146158	88.806976	31.416462
0.097000	8.854630	3.177532	88.755737	31.388525
0.098000	8.943310	3.208879	88.704559	31.360615
0.099000	9.031938	3.240198	88.653442	31.332733
0.100000	9.120515	3.271489	88.602386	31.304878
0.101000	9.209041	3.302752	88.551392	31.277050
0.102000	9.297516	3.333987	88.500458	31.249249
0.103000	9.385940	3.365195	88.449585	31.221474
0.104000	9.474313	3.396375	88.398773	31.193726
0.105000	9.562635	3.427527	88.348015	31.166006
0.106000	9.650908	3.458652	88.297318	31.138313
0.107000	9.739129	3.489748	88.246681	31.110647
0.108000	9.827300	3.520818	88.196106	31.083008
0.109000	9.915421	3.551859	88.145592	31.055395
0.110000	10.003490	3.582873	88.095139	31.027809
0.111000	10.091510	3.613860	88.044739	31.000250
0.112000	10.179479	3.644819	87.994400	30.972715
